player,team,salary,value,plateAppearances,runs,hits,singles,doubles,triples,homeRuns,runsBattedIn,stolenBases,caughtStealing,walks,strikeouts,battingAverage,onBasePercentage,sluggingPercentage,onBasePlusSlugging,fantasy,gameInfo
Wilyer Abreu,Boston Red Sox,$3000,4.03,4.03,0.6,1.02,0.6,0.22,0.03,0.25,0.58,0.08,0.02,0.37,1.04,0.286,0.36,0.592,0.951,12.1,LAD @ BOS
Ceddanne Rafaela,Boston Red Sox,$3000,3.83,4.14,0.66,0.97,0.61,0.19,0.04,0.17,0.59,0.15,0.04,0.33,0.81,0.256,0.317,0.469,0.785,11.5,LAD @ BOS
Andy Pages,Los Angeles Dodgers,$3000,4.8,4.28,0.83,1.26,0.75,0.24,0,0.29,0.99,0.05,0.02,0.27,0.61,0.318,0.36,0.604,0.964,14.4,LAD @ BOS
Hyeseong Kim,Los Angeles Dodgers,$2600,3.31,4.17,0.58,0.98,0.8,0.16,0.03,0.06,0.34,0.09,0.03,0.17,1.05,0.257,0.297,0.383,0.68,8.6,LAD @ BOS
Roman Anthony,Boston Red Sox,$2700,4.07,4.48,0.57,1.04,0.61,0.37,0.04,0.05,0.54,0.08,0.01,0.57,1.15,0.272,0.367,0.44,0.807,11,LAD @ BOS
George Springer,Toronto Blue Jays,$3500,4.17,4.64,0.76,1.1,0.61,0.26,0.01,0.28,0.72,0.15,0.02,0.52,0.84,0.275,0.371,0.569,0.939,14.6,TOR @ DET
Javier Baez,Detroit Tigers,$2700,3.37,3.7,0.52,0.91,0.56,0.22,0.03,0.13,0.38,0.14,0.05,0.08,0.99,0.257,0.282,0.451,0.733,9.1,TOR @ DET
Gleyber Torres,Detroit Tigers,$3000,3.1,4.48,0.59,0.95,0.77,0.12,0.01,0.09,0.31,0.05,0.02,0.58,0.6,0.247,0.348,0.363,0.711,9.3,TOR @ DET
Vladimir Guerrero Jr.,Toronto Blue Jays,$3400,3.97,4.53,0.67,1.18,0.62,0.32,0.03,0.21,0.72,0.09,0.03,0.43,0.6,0.301,0.388,0.558,0.945,13.5,TOR @ DET
Bo Bichette,Toronto Blue Jays,$3000,3.77,4.42,0.55,1.16,0.8,0.23,0.06,0.14,0.61,0.08,0.03,0.31,0.74,0.288,0.337,0.494,0.831,11.3,TOR @ DET
Alejandro Kirk,Toronto Blue Jays,$2800,2.61,4.2,0.41,0.9,0.77,0.14,0,0.04,0.35,0,0,0.36,0.61,0.239,0.306,0.323,0.629,7.3,TOR @ DET
Zach McKinstry,Detroit Tigers,$2900,3.41,4.03,0.5,0.91,0.59,0.17,0.01,0.17,0.43,0.11,0.05,0.36,0.89,0.252,0.323,0.459,0.782,9.9,TOR @ DET
Ernie Clement,Toronto Blue Jays,$2700,2.93,3.98,0.45,0.94,0.69,0.25,0.04,0.03,0.31,0.07,0.02,0.19,0.46,0.256,0.297,0.382,0.679,7.9,TOR @ DET
Spencer Torkelson,Detroit Tigers,$3100,4.19,4.15,0.63,0.89,0.3,0.27,0.05,0.31,0.83,0,0,0.43,1.03,0.245,0.324,0.61,0.935,13,TOR @ DET
Riley Greene,Detroit Tigers,$3300,3.24,4.26,0.53,1.04,0.63,0.23,0.03,0.21,0.54,0.01,0,0.23,1.36,0.265,0.321,0.519,0.84,10.7,TOR @ DET
Dillon Dingler,Detroit Tigers,$2700,3.3,3.92,0.44,0.9,0.52,0.24,0,0.17,0.53,0,0.01,0.15,0.94,0.241,0.278,0.45,0.728,8.9,TOR @ DET
Addison Barger,Toronto Blue Jays,$3200,2.81,4.31,0.46,0.84,0.44,0.26,0.03,0.14,0.46,0.03,0.01,0.27,1.17,0.212,0.267,0.408,0.676,9,TOR @ DET
Nathan Lukes,Toronto Blue Jays,$2800,3.82,4.76,0.58,1.25,0.89,0.25,0.03,0.12,0.5,0,0.02,0.39,0.73,0.29,0.351,0.458,0.809,10.7,TOR @ DET
Parker Meadows,Detroit Tigers,$2500,2.84,3.81,0.46,0.74,0.5,0.19,0,0.09,0.25,0.04,0.03,0.25,1.18,0.212,0.268,0.354,0.622,7.1,TOR @ DET
Colt Keith,Detroit Tigers,$2600,4.08,4.59,0.55,1.08,0.7,0.28,0.01,0.12,0.64,0.01,0.01,0.39,1.06,0.26,0.323,0.431,0.754,10.6,TOR @ DET
Wenceel Perez,Detroit Tigers,$2800,3.43,4.37,0.55,0.85,0.54,0.18,0,0.17,0.39,0.09,0.01,0.25,0.95,0.218,0.287,0.407,0.694,9.6,TOR @ DET
