player,team,salary,value,plateAppearances,runs,hits,singles,doubles,triples,homeRuns,runsBattedIn,stolenBases,caughtStealing,walks,strikeouts,battingAverage,onBasePercentage,sluggingPercentage,onBasePlusSlugging,fantasy,gameInfo
Yordan Alvarez,Houston Astros,$3200,3.66,4.53,0.61,1.13,0.75,0.24,0,0.19,0.75,0.01,0.03,0.34,0.66,0.276,0.335,0.486,0.822,11.7,HOU @ MIL
Mauricio Dubon,Houston Astros,$2300,3.3,3.97,0.41,1.01,0.77,0.17,0.02,0.06,0.36,0.01,0.01,0.21,0.41,0.271,0.312,0.384,0.697,7.6,HOU @ MIL
William Contreras,Milwaukee Brewers,$3000,3.73,4.23,0.55,0.95,0.56,0.25,0.01,0.16,0.59,0.11,0.01,0.45,0.78,0.26,0.346,0.472,0.818,11.2,HOU @ MIL
Isaac Paredes,Houston Astros,$3000,3.37,4.42,0.55,0.88,0.58,0.2,0,0.17,0.51,0,0,0.51,0.61,0.227,0.32,0.425,0.744,10.1,HOU @ MIL
Jake Meyers,Houston Astros,$2700,3.19,3.86,0.42,0.81,0.54,0.15,0.02,0.13,0.39,0.12,0.04,0.24,0.73,0.231,0.293,0.408,0.701,8.6,HOU @ MIL
Jeremy Pena,Houston Astros,$3000,4.23,4.75,0.75,1.26,0.87,0.23,0.01,0.18,0.64,0.12,0.02,0.25,0.77,0.289,0.341,0.475,0.816,12.7,HOU @ MIL
Yainer Diaz,Houston Astros,$2700,2.7,4.19,0.3,0.86,0.63,0.19,0,0.11,0.41,0.01,0.01,0.14,0.81,0.216,0.247,0.357,0.604,7.3,HOU @ MIL
Brice Turang,Milwaukee Brewers,$3200,3.5,4.56,0.6,1.13,0.87,0.2,0.02,0.08,0.4,0.25,0.06,0.46,0.91,0.282,0.36,0.414,0.773,11.2,HOU @ MIL
Joey Ortiz,Milwaukee Brewers,$2500,2.96,3.78,0.4,0.69,0.51,0.14,0.02,0.07,0.39,0.05,0,0.26,0.77,0.205,0.273,0.337,0.61,7.4,HOU @ MIL
Sal Frelick,Milwaukee Brewers,$2700,3.11,4.11,0.52,0.93,0.76,0.17,0.03,0,0.23,0.19,0.03,0.38,0.69,0.256,0.329,0.327,0.655,8.4,HOU @ MIL
Jackson Chourio,Milwaukee Brewers,$3400,3.35,4.45,0.59,1.06,0.63,0.28,0.03,0.15,0.46,0.2,0.03,0.27,1.07,0.258,0.314,0.457,0.771,11.4,HOU @ MIL
Caleb Durbin,Milwaukee Brewers,$2700,2.3,3.67,0.32,0.74,0.59,0.15,0,0.04,0.35,0.01,0.01,0.25,0.82,0.219,0.273,0.303,0.576,6.2,HOU @ MIL
Cam Smith,Houston Astros,$2600,3.46,4.08,0.49,0.95,0.68,0.2,0,0.13,0.42,0.01,0.01,0.35,0.83,0.258,0.324,0.437,0.76,9,HOU @ MIL
Travis d'Arnaud,Los Angeles Angels,$2200,5.27,4.07,0.52,0.92,0.45,0.23,0.01,0.28,0.69,0.01,0,0.34,0.91,0.254,0.332,0.571,0.903,11.6,TOR @ LAA
Jorge Soler,Los Angeles Angels,$2900,4.03,4.4,0.53,0.96,0.59,0.17,0.02,0.27,0.67,0,0,0.46,0.85,0.246,0.329,0.533,0.862,11.7,TOR @ LAA
George Springer,Toronto Blue Jays,$3100,3.65,4.52,0.76,1.03,0.72,0.19,0.03,0.12,0.36,0.15,0.02,0.53,0.83,0.264,0.354,0.434,0.787,11.3,TOR @ LAA
Anthony Santander,Toronto Blue Jays,$3000,3.6,4.63,0.57,0.97,0.63,0.18,0.03,0.17,0.6,0,0,0.52,0.68,0.239,0.324,0.432,0.756,10.8,TOR @ LAA
Taylor Ward,Los Angeles Angels,$2700,3.85,4.29,0.59,0.9,0.55,0.18,0.01,0.19,0.49,0.02,0.02,0.5,0.9,0.241,0.331,0.456,0.786,10.4,TOR @ LAA
Kevin Newman,Los Angeles Angels,$2200,3.5,3.74,0.46,0.9,0.67,0.21,0.01,0.06,0.37,0.05,0.02,0.15,0.48,0.26,0.298,0.397,0.695,7.7,TOR @ LAA
Myles Straw,Toronto Blue Jays,$2200,3.73,3.97,0.49,0.91,0.71,0.15,0.03,0.07,0.3,0.08,0.03,0.24,0.73,0.255,0.312,0.384,0.696,8.2,TOR @ LAA
Vladimir Guerrero Jr.,Toronto Blue Jays,$3300,4.24,4.74,0.72,1.19,0.73,0.24,0.02,0.3,0.84,0,0,0.42,0.71,0.283,0.347,0.593,0.941,14,TOR @ LAA
Bo Bichette,Toronto Blue Jays,$2800,3.36,4.85,0.43,1.06,0.8,0.24,0.02,0.06,0.44,0.06,0.04,0.38,0.68,0.249,0.315,0.368,0.683,9.4,TOR @ LAA
Jo Adell,Los Angeles Angels,$2400,3.71,3.96,0.5,0.8,0.49,0.16,0,0.17,0.51,0.04,0.01,0.26,1.16,0.218,0.272,0.402,0.674,8.9,TOR @ LAA
Andres Gimenez,Toronto Blue Jays,$2500,3.84,4.08,0.47,1.03,0.75,0.23,0.04,0.09,0.37,0.12,0.02,0.29,0.46,0.283,0.342,0.463,0.805,9.6,TOR @ LAA
Daulton Varsho,Toronto Blue Jays,$2800,3.82,4.3,0.56,0.89,0.5,0.26,0.02,0.17,0.5,0.05,0.02,0.47,1.04,0.235,0.326,0.465,0.792,10.7,TOR @ LAA
Alejandro Kirk,Toronto Blue Jays,$2500,3.12,4.41,0.38,1,0.79,0.21,0,0.05,0.32,0,0.03,0.39,0.54,0.249,0.32,0.356,0.676,7.8,TOR @ LAA
